agazat_betu,ceg_ev,hitellel_rendelkezo_pct,implicit_kamat_median_pct,exportor_pct
KERESKEDELEM,30680,15.0,3.79,18.67
FELDOLGOZÓIPAR,29858,19.45,3.47,26.31
ÉPÍTŐIPAR,17833,7.47,4.27,2.93
"SZÁLLÁSHELY-SZOLGÁLTATÁS, VENDÉGLÁTÁS",12925,4.17,2.78,0.77
"SZAKMAI, TUDOMÁNYOS, MŰSZAKI TEVÉKENYSÉG",11165,7.77,5.48,12.66
"SZÁLLÍTÁS, RAKTÁROZÁS",9606,11.39,4.32,14.46
ADMINISZTRATÍV ÉS SZOLGÁLTATÁST TÁMOGATÓ TEVÉKENYSÉG,9536,6.83,7.46,6.5
"MEZŐGAZDASÁG, ERDŐGAZDÁLKODÁS, HALÁSZAT",5941,30.1,3.77,12.24
"TÁVKÖZLÉS, SZÁMÍTÓGÉPES PROGRAMOZÁS, INFORMÁCIÓTECHNOLÓGIAI SZAKTANÁCSADÁS, SZÁMÍTÁSTECHNIKAI INFRASTRUKTÚRA ÉS EGYÉB INFORMÁCIÓS SZOLGÁLTATÁSOK",5180,9.96,5.84,17.88
INGATLANÜGYLETEK,3848,12.06,4.26,4.47
"HUMÁNEGÉSZSÉGÜGYI, SZOCIÁLIS ELLÁTÁS",3253,4.43,5.07,1.78
EGYÉB SZOLGÁLTATÁS,3147,5.59,5.31,4.45
"MŰVÉSZET, SPORT, SZABADIDŐ",2391,6.4,4.32,5.56
"KIADÓI TEVÉKENYSÉG, MŰSORSZOLGÁLTATÁS, TARTALOMSZOLGÁLTATÁS ÉS -TERJESZTÉS",1434,8.16,5.39,18.48
"VÍZELLÁTÁS; SZENNYVÍZ GYŰJTÉSE, KEZELÉSE, HULLADÉKGAZDÁLKODÁS, SZENNYEZÉSMENTESÍTÉS",1346,21.69,7.13,14.78
"PÉNZÜGYI, BIZTOSÍTÁSI TEVÉKENYSÉG",994,16.4,6.95,12.17
OKTATÁS,906,5.08,5.37,3.64
"VILLAMOSENERGIA-, GÁZ-, GŐZELLÁTÁS, LÉGKONDICIONÁLÁS",555,21.62,9.47,20.0
"BÁNYÁSZAT, KŐFEJTÉS",289,16.61,3.98,21.45
"KÖZIGAZGATÁS, VÉDELEM; KÖTELEZŐ TÁRSADALOMBIZTOSÍTÁS",95,3.16,,5.26
