negyedev,y_teljes_pct,y_szuveren_pct,y_banki_pct
1,-0.251690713443735,-0.2522346929755,0.000543979531765558
2,-0.226445747919364,-0.228169194898843,0.0017234469794793
3,-0.207095137220591,-0.209815754799355,0.00272061757876395
4,-0.19234861316974,-0.195938792251808,0.00359017908206812
5,-0.181292877877333,-0.185666049988156,0.00437317211082354
6,-0.173298081176257,-0.178398415838371,0.00510033466211408
7,-0.167950264686604,-0.173744840289859,0.00579457560325517
8,-0.165003007031487,-0.17147578882682,0.00647278179533317
9,-0.164343350015357,-0.171490461027537,0.00714711101217913
10,-0.165968443085992,-0.173794325502719,0.00782588241672708
11,-0.169970345210587,-0.178484490248839,0.0085141450382516
12,-0.176527166378925,-0.185741146520288,0.00921398014136316
13,-0.185899286634652,-0.195823860414347,0.00992457377969433
14,-0.185459156194063,-0.196075152642217,0.0106159964481535
15,-0.174069569336001,-0.185352258149226,0.0112826888132248
16,-0.149888261445891,-0.161807550826177,0.0119192893802861
17,-0.110289117870103,-0.122810716075017,0.0125215982049138
18,-0.0777125997065204,-0.0908262647307953,0.013113665024275
19,-0.0507054377868952,-0.064400519205178,0.0136950814182827
20,-0.0281456292198307,-0.0424115369877253,0.0142659077678944
21,-0.00916209360035765,-0.0239885941370028,0.0148265005366449
22,0.00692549488202319,-0.00845189671405278,0.015377391596076
23,0.020651855717087,0.00473265060179223,0.0159192051152948
24,0.0324400587914256,0.015987457386854,0.0164526014045717
25,0.0426271324796761,0.0256488925170649,0.0169782399626112
26,0.0514834353676136,0.0339866792812521,0.0174967560863614
27,0.0592273618890127,0.0412186149344559,0.0180087469545568
28,0.0660365500901803,0.0475217858542636,0.0185147642359167
29,0.0720564613932069,0.0530411502857613,0.0190153111074456
30,0.0774069807822189,0.0578961386047716,0.0195108421774475
31,0.082187521396909,0.0621857561459531,0.0200017652509559
32,0.0864809953422484,0.0659925511460103,0.0204884441962381
33,0.0903569216869422,0.06938571928455,0.0209712024023922
34,0.0938738750295085,0.0724235485456436,0.0214503264838649
35,0.0970814276603697,0.0751553576546593,0.0219260700057103
36,0.100021700795324,0.0776230437086608,0.0223986570866633
37,0.102730612305698,0.0798623265105006,0.0228682857951976
38,0.105238887381615,0.0819037560878817,0.0233351312937328
39,0.1075728828271,0.0837735341139152,0.0237993487131846
40,0.109755263856984,0.0854941880991175,0.024261075757866
41,0.111805563350107,0.0870851282980274,0.0247204350520793
42,0.113740646772317,0.0885631105257673,0.0251775362465499
43,0.115575100867342,0.089942622960774,0.0256324779065678
44,0.11732156031605,0.0912362111107136,0.0260853492053362
45,0.118990983581464,0.0924547521351657,0.0265362314462981
46,0.120592886862161,0.0936076874245289,0.0269851994376318
47,0.122135543301936,0.0947032205609022,0.0274323227410335
48,0.12362615322286,0.0957484864072926,0.0278776668155678
49,0.125070990067968,0.0967496959920093,0.0283212940759586
50,0.126475525888031,0.0977122610047468,0.0287632648832845
51,0.127844539531158,0.0986409010464173,0.0292036384847409
52,0.129182210154075,0.0995397362361272,0.0296424739179477
53,0.130492198239701,0.100412367345446,0.0300798308942554
54,0.13177771595386,0.101261945279219,0.0305157706746418
55,0.133041588387139,0.10209123143605,0.0309503569510889
56,0.134286306992508,0.102902650246715,0.0313836567457931
57,0.135514076334985,0.103698334994809,0.031815741340176
58,0.136726855108242,0.104480167862821,0.0322466872454208
59,0.137926392238401,0.105249815012248,0.032676577226153
60,0.139114258782382,0.106008757393484,0.0331055013888983
